num,viewnew,field,levelnew,DSWI1,NDVI,NDVIre2,PSRI2,REDSI,TVI,pre202101,pre7,rhu202012,ssd202101,constant,stage,stageV2new
53,10,0,1,2.03115201,0.609464407,0.49442637,-0.08304058,50.60993195,15.12864208,0.042285968,0.283092499,69.33358002,4.678113461,4,3,4
54,25,18,1,2.595720053,0.681641638,0.564842999,-0.07813935,70.70490265,18.81521988,0.042008791,0.300829977,69.30548096,4.659756184,4,3,4
55,26,19,1,2.049561501,0.583652496,0.444359034,-0.010952276,53.88376617,16.77922249,0.041984808,0.302738428,69.30825806,4.657845974,3,3,3
56,27,20,1,2.645950317,0.723015428,0.592939556,-0.077112496,85.44380951,19.14713287,0.041951139,0.305348247,69.31187439,4.655114174,3,3,3
57,28,21,1,2.450815201,0.698361099,0.575772822,-0.081279069,75.29647827,18.19396782,0.041824147,0.316678673,69.33364105,4.646764755,3,3,3
58,37,26,1,2.185227871,0.653170288,0.535622478,-0.088107727,59.99242401,16.852314,0.041659396,0.32305631,69.33328247,4.623953342,3,3,3
59,42,27,1,2.530608654,0.718022406,0.601711035,-0.087477185,79.59720612,18.23450661,0.041680027,0.322637677,69.3337326,4.627530575,3,3,3
60,46,29,1,2.625253439,0.720610321,0.604504585,-0.082329258,83.01654816,18.60824203,0.041561533,0.334935099,69.36205292,4.622517586,3,3,3
61,56,0,1,2.351846695,0.692060888,0.579671383,-0.089629211,69.68761444,17.8449192,0.041373186,0.373941123,69.4443512,4.651525497,3,3,3
62,58,0,1,1.362548709,0.382988393,0.296906322,-0.042881738,22.67115784,8.462914467,0.041366629,0.37221539,69.43997955,4.646798134,3,3,3
63,59,33,1,2.300399542,0.681164622,0.564179182,-0.088691629,66.51990509,17.34502602,0.041356955,0.373220712,69.44145203,4.646579266,3,3,3
64,62,34,1,2.480647564,0.704918265,0.586813569,-0.07672023,79.08377075,18.79435158,0.041214511,0.375213087,69.4420929,4.618075371,3,3,3
65,63,35,1,1.638588428,0.508336723,0.426841706,-0.085334748,30.71248436,12.71801662,0.041141164,0.384337991,69.45843506,4.618561745,3,3,3
66,96,0,1,2.320278406,0.6796664,0.558975875,-0.091784202,68.35843658,17.50152588,0.041993842,0.300791144,69.29949188,4.657515526,4,3,4
67,97,0,1,2.521975994,0.660102725,0.546046376,-0.079652824,63.05034256,17.74521255,0.041988313,0.301511109,69.30196381,4.657299042,4,3,4
68,1,0,1,2.326859951,0.680941701,0.56219101,-0.087972425,66.96322632,17.46439934,0.042121228,0.307701975,69.41513824,4.673959732,3,3,3
69,11,8,1,2.03115201,0.609464407,0.49442637,-0.08304058,50.60993195,15.12864208,0.042285968,0.283092499,69.33358002,4.678113461,4,4,4
70,12,9,1,1.845718861,0.602680862,0.486879319,-0.096667275,43.83764648,14.65863609,0.042284094,0.282818049,69.3289032,4.678398609,4,4,4
71,13,10,1,2.03115201,0.609464407,0.49442637,-0.08304058,50.60993195,15.12864208,0.042285968,0.283092499,69.33358002,4.678113461,4,4,4
72,14,11,1,2.171004057,0.639434397,0.524142802,-0.085791707,55.45739365,16.4552784,0.042285871,0.283527642,69.33808136,4.677756786,4,4,4
