num,viewnew,field,levelnew,DSWI1,NDVI,NDVIre2,PSRI2,REDSI,TVI,pre202101,pre7,rhu202012,ssd202101,stagenew
39,71,0,0,1.706706762,0.474170864,0.349253744,-0.052728627,31.57721901,14.71400052,0.041066939,0.393999218,69.47519727,4.619935025,3
40,72,0,0,1.64504683,0.454801112,0.333824247,-0.045270517,29.70007133,14.06399995,0.041026556,0.398002877,69.48261174,4.618147005,3
41,73,0,0,1.660052061,0.452534199,0.333822846,-0.049541302,29.03379631,14.02400017,0.040998384,0.399178673,69.48593568,4.613584683,3
42,76,0,0,1.604548335,0.450704217,0.325259507,-0.052965321,28.23589706,13.88000011,0.040904473,0.38179588,69.47643427,4.557111543,4
43,77,0,0,1.593420267,0.452807635,0.325478673,-0.057407383,27.36172104,14.09200013,0.040895008,0.38000975,69.47576864,4.551560315,3
44,78,40,0,1.46021378,0.430227727,0.307150066,-0.094375946,19.0152607,12.82000005,0.040798553,0.367676136,69.4770058,4.506923304,3
45,79,0,0,1.583252788,0.446658373,0.330823272,-0.052810255,28.6121521,13.3039999,0.040796302,0.367508424,69.47719219,4.50611001,3
46,80,0,0,1.580552936,0.44678244,0.327205002,-0.041931845,28.72378349,13.43799949,0.040789563,0.366671134,69.47739288,4.503108885,3
47,81,0,0,1.642373443,0.465621203,0.341100663,-0.052495386,30.31000519,14.3719995,0.04074313,0.364727129,69.48314426,4.489008723,3
48,82,41,0,1.664516211,0.473788738,0.344221771,-0.054860137,30.1652813,14.81200099,0.040744698,0.363977158,69.48206131,4.488124894,3
49,83,0,0,1.672636867,0.476898015,0.353621751,-0.051653646,32.01478958,14.57800001,0.040661337,0.354814807,69.48691722,4.454063168,3
50,94,0,0,1.67905736,0.478154868,0.354449481,-0.052338529,31.54283524,14.67000008,0.041218968,0.302773957,69.31878366,4.495755705,3
51,95,0,0,1.688067198,0.474887699,0.346046269,-0.046845492,32.00933075,14.45200026,0.041243041,0.302061355,69.31370366,4.499890862,3
52,1,0,1,1.493906021,0.438202262,0.308755785,-0.07338772,23.88631439,13.63800079,0.042126593,0.306945787,69.41343191,4.673847668,3
53,7,5,1,1.619886756,0.454008251,0.318584055,-0.060029786,27.89394379,14.11399931,0.042119059,0.308270607,69.41764769,4.674133763,3
54,10,0,1,1.451561928,0.40947324,0.304121047,-0.070800006,21.66192055,11.42800033,0.042290324,0.282686707,69.33331062,4.678328915,3
55,11,8,1,1.435116887,0.397994757,0.290703654,-0.065260619,20.69804764,11.27199948,0.042289345,0.282715856,69.33270555,4.678334911,4
56,12,9,1,1.405850053,0.405082881,0.295103431,-0.071168624,20.04160309,11.35400027,0.042283521,0.282884075,69.32907981,4.67835862,4
57,13,10,1,1.334915519,0.360305697,0.270069271,-0.054927327,19.30850029,9.822000563,0.04228731,0.282957356,69.33338415,4.678189373,4
58,14,11,1,1.439500093,0.415053725,0.29387328,-0.07504008,20.74044228,11.87199891,0.042292166,0.283078735,69.33920778,4.677925192,4
59,15,12,1,1.5,0.427728623,0.305903375,-0.061448134,24.65169334,12.54000068,0.04229174,0.283450023,69.3427154,4.677626385,4
60,16,13,1,1.629941702,0.483897269,0.354740083,-0.065086566,30.18404007,14.73999977,0.042045513,0.295344108,69.28339281,4.660994993,4
61,18,14,1,1.689586163,0.494527757,0.362637371,-0.065266326,31.92782211,15.15199974,0.042043725,0.295855836,69.28624365,4.661086811,4
62,19,0,1,1.628312826,0.475803137,0.347011089,-0.066566333,29.15205765,14.51999873,0.042041754,0.296053072,69.28680593,4.660938263,4
63,20,15,1,1.662388921,0.484015465,0.365071416,-0.064243756,30.36701012,14.82600003,0.042041909,0.296304822,69.28862488,4.661134581,4
64,21,16,1,1.647901058,0.480508983,0.345047086,-0.06967058,29.06998444,14.72599924,0.042034928,0.296938264,69.29012396,4.660575222,4
